num_threads,avg_time_faulting,avg_time_raw
1,0.00159372,0.00026632
2,0.0025329600000000003,0.00054498
4,0.00436862,0.0011964199999999997
8,0.008449940000000003,0.0028700200000000005
16,0.01626648,0.006196320000000001
32,0.03219059999999999,0.01190236
64,0.06281622,0.023883679999999994
128,0.13460098,0.04729966000000001
192,0.22005996000000003,0.06904068000000001
256,0.32985544,0.08903738000000003
320,0.5289510000000001,0.10940383999999997
384,0.85250518,0.12952147999999997
448,1.2737405199999996,0.15087426
512,1.7274813800000002,0.16985244000000002
